variavel,media,desvio_padrao,minimo,maximo,N
any_prio,0.26783310901749663,0.44312844466480455,0,1,743
war_prio,0.16689098250336473,0.3731296902247267,0,1,743
gdp_g,-0.004754281020919137,0.07069803013063886,-0.4739726483821869,0.6704120635986328,743
gdp_g_l,-0.005552318841925588,0.07239098468304588,-0.4739726483821869,0.6704120635986328,743
gpcp_g,0.018195250661564476,0.209412899746045,-0.5498713254928589,1.6769756078720093,743
gpcp_g_l,0.011271306120766334,0.20666658806017896,-0.5498713254928589,1.6769756078720093,743
y_0,1.1638546439231163,0.9009274754052718,0.3160000145435333,4.8420000076293945,743
polity2l,-3.6083445491251682,5.554317456180999,-10,9,743
ethfrac,0.6546309388983458,0.23738801304518176,0.03551065921783447,0.925034761428833,743
relfrac,0.48675315890305776,0.18571489636085575,0,0.782800018787384,743
oil,0.11843876177658143,0.32334461051298025,0,1,743
lmtnest,1.5783077772420957,1.4333632766176827,0,4.421247482299805,743
lpopl1,8.749665338611218,1.206842559762156,5.71702766418457,11.705669403076172,743
