modelo,desfecho,term,estimate,std.error,statistic,p.value,conf.low,conf.high
IV narrow (any_prio_nar),any_prio_nar,fit_gdp_g,-0.8224505327263092,1.1769567814552435,-0.6987941661794866,0.48872402427519324,-3.2011689191795805,1.556267853726962
IV narrow (any_prio_nar),any_prio_nar,fit_gdp_g_l,-2.383260735037867,1.1684853325192215,-2.039615448060117,0.04803169722660292,-4.744857684526308,-0.021663785549425718
IV narrow (any_prio_nar),any_prio_nar,polity2l,-0.0014201803101447268,0.005202227559353498,-0.27299465352900065,0.7862618524933811,-0.011934274405127149,0.009093913784837693
IV narrow (any_prio_nar),any_prio_nar,oil,-0.07267282467367842,0.10995237427084201,-0.6609482073999228,0.5124345900529466,-0.2948948624182218,0.14954921307086502
IV narrow (any_prio_nar),any_prio_nar,lpopl1,0.4099457187578879,1.1887753644297476,0.34484708467569714,0.7320160505995517,-1.9926589148934464,2.812550352409222
IV narrow (war_prio_nar),war_prio_nar,fit_gdp_g,-0.8887509290915792,0.5959869122252323,-1.4912255803961465,0.14374710928821732,-2.0932854103346212,0.3157835521514627
IV narrow (war_prio_nar),war_prio_nar,fit_gdp_g_l,-0.27438110797265214,0.638495549273546,-0.429730650878979,0.6696977562154789,-1.5648287494295026,1.0160665334841983
IV narrow (war_prio_nar),war_prio_nar,polity2l,-0.0037220617109920513,0.00434376504664524,-0.8568745480068403,0.39661889421702756,-0.012501138348039328,0.005057014926055225
IV narrow (war_prio_nar),war_prio_nar,oil,-0.05672463236174774,0.05099737790601161,-1.112304880974302,0.2726475936900684,-0.15979417781773667,0.046344913094241186
IV narrow (war_prio_nar),war_prio_nar,lpopl1,0.7424856653853986,0.5249833569626706,1.41430324511829,0.16500990269817362,-0.3185452776922284,1.8035166084630256
