"code","rmspe_pre","rmspe_post","rmspe_ratio"
13,1.01178181383404,2.37320088903015,2.34556586863047
15,1.06377270427902,8.68113952963482,8.16070904500086
17,1.59107465195194,2.89791961744429,1.8213599304653
21,1.39322408698977,2.28448421853273,1.63971053893321
22,3.24450764132467,3.98404429968081,1.2279349411716
23,1.18133428633688,2.13212657268769,1.80484609424065
24,0.557766662098193,3.88821984796191,6.97105100067348
25,1.54875275683005,3.75045567685846,2.42159741786986
31,0.364763355777909,5.43244837358559,14.8930759834692
32,3.04432589524573,6.6480680768081,2.18375703047767
41,0.59061827618709,5.74432919524639,9.72595909549328
42,0.968310786434149,6.57790267249648,6.79317298190999
43,1.84690527860002,1.6141837794253,0.873993809064682
50,3.16470937903558,5.81955149494201,1.83888970453125
52,2.5529571940864,2.026876692766,0.793932893767669
53,1.71003246761123,4.33849163634538,2.53708144056813
35,1.63111752566783,10.7960912130852,6.61883098133284
